X,Y,Z,W,P,R,C1,C3,C4,C5,C6,C7 
942.707,23.360,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
937.102,28.818,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
929.875,34.989,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
919.125,42.629,429.050,180.000,0.000,134.880,0,1,1,0,0,0
910.844,47.473,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
902.226,51.688,429.050,180.000,0.000,134.880,0,1,1,0,0,0
890.672,56.162,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
881.463,58.850,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
872.079,60.846,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
862.573,62.138,429.050,180.000,0.000,134.880,0,1,1,0,0,0
849.398,62.735,429.056,-180.000,-0.000,134.880,0,1,1,0,0,0
840.213,62.379,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
830.683,61.294,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
817.378,58.551,429.050,180.000,0.000,134.880,0,1,1,0,0,0
808.196,55.778,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
799.246,52.328,429.050,180.000,0.000,134.880,0,1,1,0,0,0
787.759,46.712,429.050,180.000,0.000,134.880,0,1,1,0,0,0
779.540,41.767,429.050,180.000,0.000,134.880,0,1,1,0,0,0
771.396,35.980,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
764.319,30.113,429.050,180.000,0.000,134.880,0,1,1,0,0,0
755.478,21.436,429.050,180.000,0.000,134.880,0,1,1,0,0,0
748.982,13.845,429.050,180.000,0.000,134.880,0,1,1,0,0,0
743.542,6.436,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
736.880,-4.478,429.050,180.000,0.000,134.880,0,1,1,0,0,0
732.613,-13.069,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
728.997,-21.953,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
726.161,-30.697,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
723.197,-43.547,429.050,180.000,0.000,134.880,0,1,1,0,0,0
721.875,-53.048,429.050,180.000,0.000,134.880,0,1,1,0,0,0
721.255,-63.021,429.050,180.000,0.000,134.880,0,1,1,0,0,0
721.622,-76.203,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
722.798,-86.126,429.050,180.000,0.000,134.880,0,1,1,0,0,0
722.798,-86.126,429.050,180.000,0.000,134.880,0,1,1,0,0,0
722.798,-86.126,429.050,180.000,0.000,134.880,0,1,1,0,0,0
732.119,-117.877,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
736.118,-126.154,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
740.910,-134.464,429.050,180.000,0.000,134.880,0,1,1,0,0,0
747.991,-144.630,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
754.392,-152.303,429.050,180.000,0.000,134.880,0,1,1,0,0,0
761.080,-159.180,429.050,180.000,0.000,134.880,0,1,1,0,0,0
770.757,-167.539,429.050,180.000,0.000,134.880,0,1,1,0,0,0
778.533,-173.156,429.050,180.000,0.000,134.880,0,1,1,0,0,0
786.706,-178.179,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
798.508,-184.064,429.050,180.000,0.000,134.880,0,1,1,0,0,0
807.814,-187.700,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
816.602,-190.400,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
825.953,-192.541,429.050,180.000,0.000,134.880,0,1,1,0,0,0
839.017,-194.336,429.050,180.000,0.000,134.880,0,1,1,0,0,0
848.599,-194.798,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
858.188,-194.545,429.050,180.000,0.000,134.880,0,1,1,0,0,0
870.892,-193.099,429.050,180.000,0.000,134.880,0,1,1,0,0,0
880.293,-191.191,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
889.144,-188.711,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
901.118,-184.224,429.050,180.000,0.000,134.880,0,1,1,0,0,0
909.774,-180.091,429.050,180.000,0.000,134.880,0,1,1,0,0,0
918.437,-175.114,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
929.234,-167.543,429.050,180.000,0.000,134.880,0,1,1,0,0,0
936.570,-161.364,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
943.426,-154.656,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
949.764,-147.456,429.050,180.000,0.000,134.880,0,1,1,0,0,0
957.347,-137.161,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
962.344,-128.973,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
966.718,-120.436,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
971.670,-108.215,429.050,180.000,0.000,134.880,0,1,1,0,0,0
974.472,-99.042,429.050,180.000,0.000,134.880,0,1,1,0,0,0
976.584,-89.686,429.050,180.000,0.000,134.880,0,1,1,0,0,0
978.307,-77.015,429.050,180.000,0.000,134.880,0,1,1,0,0,0
978.772,-67.035,429.050,180.000,0.000,134.880,0,1,1,0,0,0
978.490,-57.447,429.050,180.000,0.000,134.880,0,1,1,0,0,0
977.495,-47.907,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
975.164,-35.740,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
972.562,-26.508,429.050,180.000,0.000,134.880,0,1,1,0,0,0
969.431,-17.865,429.050,180.000,0.000,134.880,0,1,1,0,0,0
963.880,-5.904,429.050,180.000,0.000,134.880,0,1,1,0,0,0
958.876,2.744,429.050,180.000,0.000,134.880,0,1,1,0,0,0
953.216,10.978,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
945.695,20.146,429.050,180.000,0.000,134.880,0,1,1,0,0,0
943.213,22.825,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
943.023,23.024,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
943.023,23.024,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
943.023,23.024,429.050,-180.000,-0.000,134.880,0,1,1,0,0,0
